customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges.Monthly,Charges.Total,SeniorCitizen_label,GrupoEtario,ChurnStatus,Status_evasao
0002-ORFBO,False,Female,False,True,True,9,True,False,DSL,False,True,False,True,True,False,One year,True,Mailed check,65.6,593.3,Adulto,Adulto,Inativo,Inativo
0003-MKNFE,False,Male,False,False,False,9,True,True,DSL,False,False,False,False,False,True,Month-to-month,False,Mailed check,59.9,542.4,Adulto,Adulto,Inativo,Inativo
0004-TLHLJ,True,Male,False,False,False,4,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Electronic check,73.9,280.85,Adulto,Adulto,Ativos,Ativos
0011-IGKFF,True,Male,True,True,False,13,True,False,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,98.0,1237.85,Idoso,Idoso,Ativos,Ativos
0013-EXCHZ,True,Female,True,True,False,3,True,False,Fiber optic,False,False,False,True,True,False,Month-to-month,True,Mailed check,83.9,267.4,Idoso,Idoso,Ativos,Ativos
0013-MHZWF,False,Female,False,False,True,9,True,False,DSL,False,False,False,True,True,True,Month-to-month,True,Credit card (automatic),69.4,571.45,Adulto,Adulto,Inativo,Inativo
0013-SMEOE,False,Female,True,True,False,71,True,False,Fiber optic,True,True,True,True,True,True,Two year,True,Bank transfer (automatic),109.7,7904.25,Idoso,Idoso,Inativo,Inativo
0014-BMAQU,False,Male,False,True,False,63,True,True,Fiber optic,True,False,False,True,False,False,Two year,True,Credit card (automatic),84.65,5377.8,Adulto,Adulto,Inativo,Inativo
0015-UOCOJ,False,Female,True,False,False,7,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Electronic check,48.2,340.35,Idoso,Idoso,Inativo,Inativo
0016-QLJIS,False,Female,False,True,True,65,True,True,DSL,True,True,True,True,True,True,Two year,True,Mailed check,90.45,5957.9,Adulto,Adulto,Inativo,Inativo
0017-DINOC,False,Male,False,False,False,54,False,False,DSL,True,False,False,True,True,False,Two year,False,Credit card (automatic),45.2,2460.55,Adulto,Adulto,Inativo,Inativo
0017-IUDMW,False,Female,False,True,True,72,True,True,Fiber optic,True,True,True,True,True,True,Two year,True,Credit card (automatic),116.8,8456.75,Adulto,Adulto,Inativo,Inativo
0018-NYROU,False,Female,False,True,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,68.95,351.5,Adulto,Adulto,Inativo,Inativo
0019-EFAEP,False,Female,False,False,False,72,True,True,Fiber optic,True,True,True,False,True,False,Two year,True,Bank transfer (automatic),101.3,7261.25,Adulto,Adulto,Inativo,Inativo
0019-GFNTW,False,Female,False,False,False,56,False,False,DSL,True,True,True,True,False,False,Two year,False,Bank transfer (automatic),45.05,2560.1,Adulto,Adulto,Inativo,Inativo
0020-INWCK,False,Female,False,True,True,71,True,True,Fiber optic,False,True,True,False,False,True,Two year,True,Credit card (automatic),95.75,6849.4,Adulto,Adulto,Inativo,Inativo
0020-JDNXP,False,Female,False,True,True,34,False,False,DSL,True,False,True,True,True,True,One year,False,Mailed check,61.25,1993.2,Adulto,Adulto,Inativo,Inativo
0021-IKXGC,False,Female,True,False,False,1,True,True,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,72.1,72.1,Idoso,Idoso,Inativo,Inativo
0022-TCJCI,True,Male,True,False,False,45,True,False,DSL,True,False,True,False,False,True,One year,False,Credit card (automatic),62.7,2791.5,Idoso,Idoso,Ativos,Ativos
0023-HGHWL,True,Male,True,False,False,1,False,False,DSL,False,False,False,False,False,False,Month-to-month,True,Electronic check,25.1,25.1,Idoso,Idoso,Ativos,Ativos
0023-UYUPN,False,Female,True,True,False,50,True,True,No,False,False,False,False,False,False,One year,False,Electronic check,25.2,1306.3,Idoso,Idoso,Inativo,Inativo
0023-XUOPT,True,Female,False,True,False,13,True,True,Fiber optic,False,True,True,False,True,False,Month-to-month,False,Electronic check,94.1,1215.6,Adulto,Adulto,Ativos,Ativos
0027-KWYKW,False,Female,False,True,True,23,True,True,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,83.75,1849.95,Adulto,Adulto,Inativo,Inativo
